route_id,agency_id,route_short_name,route_long_name,route_desc,route_type
1,mibus,Alcalde Díaz-Transístmica-Directo-Albrook,Alcalde Díaz-Transístmica-Directo-Albrook,Alcalde Díaz-Transístmica-Directo-Albrook <br> <br> Nombre de Ruta Alcalde Díaz-Transístmica-Directo-Albrook <br> Horario Hábil 24 Horas <br> Horario Sábado 24 Horas <br> Horario Domingo 24 Horas,3
2,mibus,Albrook-Directo-Transístmica-Alcalde Díaz,Albrook-Directo-Transístmica-Alcalde Díaz,Albrook-Directo-Transístmica-Alcalde Díaz    <br>       <br>   Nombre de Ruta   Albrook-Directo-Transístmica-Alcalde Díaz    <br>   Horario Hábil   24 Horas    <br>   Horario Sábado   24 Horas    <br>   Horario Domingo   24 Horas,3
3,mibus,Alcalde Díaz-Transístmica-Cervecería Nacional,Alcalde Díaz-Transístmica-Cervecería Nacional,Alcalde Díaz-Transístmica-Cervecería Nacional    <br>       <br>   Nombre de Ruta   Alcalde Díaz-Transístmica-Cervecería Nacional    <br>   Horario Hábil   04:00 -07:00    <br>   Horario Sábado   -    <br>   Horario Domingo   -,3
4,mibus,Cervecería Nacional-Transístmica-Alcade Díaz,Cervecería Nacional-Transístmica-Alcade Díaz,Cervecería Nacional-Transístmica-Alcade Díaz    <br>       <br>   Nombre de Ruta   Cervecería Nacional-Transístmica-Alcade Díaz    <br>   Horario Hábil   16:00 -19:00    <br>   Horario Sábado   -    <br>   Horario Domingo   -,3
5,mibus,Alcalde Díaz-Estación Los Andes,Alcalde Díaz-Estación Los Andes,Alcalde Díaz-Estación Los Andes    <br>       <br>   Nombre de Ruta   Alcalde Díaz-Estación Los Andes    <br>   Horario Hábil   05:00 - 22:00    <br>   Horario Sábado   -    <br>   Horario Domingo   -,3
6,mibus,Estación Los Andes-Alcalde Díaz,Estación Los Andes-Alcalde Díaz,Estación Los Andes-Alcalde Díaz    <br>       <br>   Nombre de Ruta   Estación Los Andes-Alcalde Díaz    <br>   Horario Hábil   05:00 - 22:00    <br>   Horario Sábado   -    <br>   Horario Domingo   -,3
7,mibus,Alcalde Díaz-Ciudad Bolivar-Estación Los Andes,Alcalde Díaz-Ciudad Bolivar-Estación Los Andes,Alcalde Díaz-Ciudad Bolivar-Estación Los Andes    <br>       <br>   Nombre de Ruta   Alcalde Díaz-Ciudad Bolivar-Estación Los Andes    <br>   Horario Hábil   -    <br>   Horario Sábado   05:00 - 22:00    <br>   Horario Domingo   05:00 - 22:00,3
8,mibus,Estación Los Andes-Alcalde Díaz-Ciudad Bolivar,Estación Los Andes-Alcalde Díaz-Ciudad Bolivar,Estación Los Andes-Alcalde Díaz-Ciudad Bolivar    <br>       <br>   Nombre de Ruta   Estación Los Andes-Alcalde Díaz-Ciudad Bolivar    <br>   Horario Hábil   -    <br>   Horario Sábado   05:00 - 22:00    <br>   Horario Domingo   05:00 - 22:00,3
9,mibus,Chilibre-I-Forestal-Albrook,Chilibre-I-Forestal-Albrook,Chilibre-I-Forestal-Albrook    <br>       <br>   Nombre de Ruta   Chilibre-I-Forestal-Albrook    <br>   Horario Hábil   04:00 - 07:00 / 15:00 - 19:00    <br>   Horario Sábado   04:00 - 07:00    <br>   Horario Domingo   06:00 - 08:00,3
10,mibus,Albrook-Forestal-Chilibre,Albrook-Forestal-Chilibre,Albrook-Forestal-Chilibre    <br>       <br>   Nombre de Ruta   Albrook-Forestal-Chilibre    <br>   Horario Hábil   04:00 - 07:00 / 15:00 - 19:00    <br>   Horario Sábado   11:00 - 16:00    <br>   Horario Domingo   11:00 - 16:00,3
11,mibus,Chilibre-Transístmica-Directo-Albrook,Chilibre-Transístmica-Directo-Albrook,Chilibre-Transístmica-Directo-Albrook    <br>       <br>   Nombre de Ruta   Chilibre-Transístmica-Directo-Albrook    <br>   Horario Hábil   24 Horas    <br>   Horario Sábado   24 Horas    <br>   Horario Domingo   24 Horas,3
12,mibus,Albrook-Directo-Transístmica-Chilibre,Albrook-Directo-Transístmica-Chilibre,Albrook-Directo-Transístmica-Chilibre    <br>       <br>   Nombre de Ruta   Albrook-Directo-Transístmica-Chilibre    <br>   Horario Hábil   24 Horas    <br>   Horario Sábado   24 Horas    <br>   Horario Domingo   24 Horas,3
13,mibus,Chilibre Pueblo-Transístmica-Albrook,Chilibre Pueblo-Transístmica-Albrook,Chilibre Pueblo-Transístmica-Albrook    <br>       <br>   Nombre de Ruta   Chilibre Pueblo-Transístmica-Albrook    <br>   Horario Hábil   24 Horas    <br>   Horario Sábado   24 Horas    <br>   Horario Domingo   24 Horas,3
14,mibus,Albrook-Transístmica-Chilibre,Albrook-Transístmica-Chilibre,Albrook-Transístmica-Chilibre    <br>       <br>   Nombre de Ruta   Albrook-Transístmica-Chilibre    <br>   Horario Hábil   24 Horas    <br>   Horario Sábado   24 Horas    <br>   Horario Domingo   24 Horas,3
15,mibus,Chagres-Transístmica-Cervecería Nacional,Chagres-Transístmica-Cervecería Nacional,Chagres-Transístmica-Cervecería Nacional    <br>       <br>   Nombre de Ruta   Chagres-Transístmica-Cervecería Nacional    <br>   Horario Hábil   16:00 -19:00    <br>   Horario Sábado   -    <br>   Horario Domingo   -,3
16,mibus,Chilibre-Autopista-Albrook,Chilibre-Autopista-Albrook,Chilibre-Autopista-Albrook    <br>       <br>   Nombre de Ruta   Chilibre-Autopista-Albrook    <br>   Horario Hábil   04:00 - 24:00    <br>   Horario Sábado   04:00 - 24:00    <br>   Horario Domingo   04:00 - 24:00,3
17,mibus,Albrook-Autopista-Chilibre,Albrook-Autopista-Chilibre,Albrook-Autopista-Chilibre    <br>       <br>   Nombre de Ruta   Albrook-Autopista-Chilibre    <br>   Horario Hábil   04:00 - 24:00    <br>   Horario Sábado   04:00 - 24:00    <br>   Horario Domingo   04:00 - 24:00,3
18,mibus,Chilibre Pueblo-Corredor Norte-Autopista-Albrook,Chilibre Pueblo-Corredor Norte-Autopista-Albrook,Chilibre Pueblo-Corredor Norte-Autopista-Albrook    <br>       <br>   Nombre de Ruta   Chilibre Pueblo-Corredor Norte-Autopista-Albrook    <br>   Horario Hábil   04:00 - 24:00    <br>   Horario Sábado   04:00 - 24:00    <br>   Horario Domingo   04:00 - 24:00,3
19,mibus,Albrook-Autopista-Corredor Norte-Chilibre,Albrook-Autopista-Corredor Norte-Chilibre,Albrook-Autopista-Corredor Norte-Chilibre    <br>       <br>   Nombre de Ruta   Albrook-Autopista-Corredor Norte-Chilibre    <br>   Horario Hábil   04:00 - 24:00    <br>   Horario Sábado   04:00 - 24:00    <br>   Horario Domingo   04:00 - 24:00,3
20,mibus,Estación Marañon-Autopista-Corredor Norte-Chilibre,Estación Marañon-Autopista-Corredor Norte-Chilibre,Estación Marañon-Autopista-Corredor Norte-Chilibre    <br>       <br>   Nombre de Ruta   Estación Marañon-Autopista-Corredor Norte-Chilibre    <br>   Horario Hábil   04:00 - 24:00    <br>   Horario Sábado   -    <br>   Horario Domingo   -,3
21,mibus,Chilibre Pueblo-Estación Los Andes,Chilibre Pueblo-Estación Los Andes,Chilibre Pueblo-Estación Los Andes    <br>       <br>   Nombre de Ruta   Chilibre Pueblo-Estación Los Andes    <br>   Horario Hábil   05:00 - 22:00    <br>   Horario Sábado   05:00 - 22:00    <br>   Horario Domingo   05:00 - 22:00,3
22,mibus,Estación Los Andes-Chilibre Pueblo,Estación Los Andes-Chilibre Pueblo,Estación Los Andes-Chilibre Pueblo    <br>       <br>   Nombre de Ruta   Estación Los Andes-Chilibre Pueblo    <br>   Horario Hábil   05:00 - 22:00    <br>   Horario Sábado   05:00 - 22:00    <br>   Horario Domingo   05:00 - 22:00,3
23,mibus,Ciudad Bolivar-Estación Los Andes,Ciudad Bolivar-Estación Los Andes,Ciudad Bolivar-Estación Los Andes    <br>       <br>   Nombre de Ruta   Ciudad Bolivar-Estación Los Andes    <br>   Horario Hábil   05:00 - 22:00    <br>   Horario Sábado   -    <br>   Horario Domingo   -,3
24,mibus,Estación Los Andes-Ciudad Bolivar,Estación Los Andes-Ciudad Bolivar,Estación Los Andes-Ciudad Bolivar    <br>       <br>   Nombre de Ruta   Estación Los Andes-Ciudad Bolivar    <br>   Horario Hábil   05:00 - 22:00    <br>   Horario Sábado   -    <br>   Horario Domingo   -,3
25,mibus,Ciudad Bolivar-Tumba Muerto-Directo-Albrook,Ciudad Bolivar-Tumba Muerto-Directo-Albrook,Ciudad Bolivar-Tumba Muerto-Directo-Albrook    <br>       <br>   Nombre de Ruta   Ciudad Bolivar-Tumba Muerto-Directo-Albrook    <br>   Horario Hábil   24 Horas    <br>   Horario Sábado   24 Horas    <br>   Horario Domingo   24 Horas,3
26,mibus,Albrook-Directo-Tumba Muerto-Ciudad Bolivar,Albrook-Directo-Tumba Muerto-Ciudad Bolivar,Albrook-Directo-Tumba Muerto-Ciudad Bolivar    <br>       <br>   Nombre de Ruta   Albrook-Directo-Tumba Muerto-Ciudad Bolivar    <br>   Horario Hábil   24 Horas    <br>   Horario Sábado   24 Horas    <br>   Horario Domingo   24 Horas,3
27,mibus,Ciudad Bolivar-Tumba Muerto-Cervecería Nacional,Ciudad Bolivar-Tumba Muerto-Cervecería Nacional,Ciudad Bolivar-Tumba Muerto-Cervecería Nacional    <br>       <br>   Nombre de Ruta   Ciudad Bolivar-Tumba Muerto-Cervecería Nacional    <br>   Horario Hábil   04:00 -07:00    <br>   Horario Sábado   -    <br>   Horario Domingo   -,3
