trip_id,arrival_time,departure_time,stop_id,stop_sequence
trip_1,"","",368,1
trip_1,"","",270,2
trip_1,"","",112,3
trip_1,"","",340,4
trip_1,"","",583,5
trip_1,"","",298,6
trip_1,"","",645,7
trip_1,"","",543,8
trip_1,"","",156,9
trip_1,"","",693,10
trip_1,"","",625,11
trip_1,"","",709,12
trip_1,"","",194,13
trip_1,"","",508,14
trip_1,"","",372,15
trip_1,"","",1140,16
trip_1,"","",537,17
trip_1,"","",633,18
trip_1,"","",766,19
trip_1,"","",886,20
trip_1,"","",1012,21
trip_1,"","",1091,22
trip_1,"","",238,23
trip_1,"","",260,24
trip_1,"","",697,25
trip_1,"","",107,26
trip_1,"","",330,27
trip_1,"","",755,28
trip_1,"","",575,29
trip_1,"","",717,30
trip_1,"","",45,31
trip_1,"","",940,32
trip_1,"","",890,33
trip_1,"","",783,34
trip_1,"","",424,35
trip_1,"","",680,36
trip_1,"","",175,37
trip_1,"","",370,38
trip_1,"","",313,39
trip_1,"","",578,40
trip_1,"","",374,41
trip_1,"","",397,42
trip_1,"","",1143,43
trip_1,"","",596,44
trip_1,"","",97,45
trip_1,"","",160,46
trip_1,"","",732,47
trip_1,"","",661,48
trip_1,"","",1016,49
trip_1,"","",1085,50
trip_1,"","",975,51
trip_1,"","",361,52
trip_2,"","",362,1
trip_2,"","",1086,2
trip_2,"","",590,3
trip_2,"","",662,4
trip_2,"","",733,5
trip_2,"","",161,6
trip_2,"","",98,7
trip_2,"","",597,8
trip_2,"","",398,9
trip_2,"","",375,10
trip_2,"","",579,11
trip_2,"","",314,12
trip_2,"","",371,13
trip_2,"","",176,14
trip_2,"","",528,15
trip_2,"","",425,16
trip_2,"","",784,17
trip_2,"","",720,18
trip_2,"","",941,19
trip_2,"","",47,20
trip_2,"","",576,21
trip_2,"","",756,22
trip_2,"","",495,23
trip_2,"","",335,24
trip_2,"","",1149,25
trip_2,"","",1146,26
trip_2,"","",698,27
trip_2,"","",261,28
trip_2,"","",239,29
trip_2,"","",1013,30
trip_2,"","",767,31
trip_2,"","",509,32
trip_2,"","",440,33
trip_2,"","",269,34
trip_2,"","",895,35
trip_2,"","",368,36
trip_2,"","",112,37
trip_2,"","",340,38
trip_2,"","",583,39
trip_2,"","",298,40
trip_2,"","",31,41
trip_2,"","",543,42
trip_2,"","",156,43
trip_2,"","",693,44
trip_2,"","",692,45
trip_2,"","",625,46
