stop_id,stop_name,stop_lat,stop_lon
1,Calle 100 Oeste,9.024977,-79.504718
2,Calle 139-R,9.060768,-79.426531
3,Calle 140 Oeste,9.061892,-79.43001
4,Calle 149 Este,9.062496,-79.420887
5,4 de Julio,8.959818,-79.54268
6,Calle 82 D Este,9.018918,-79.513575
7,Calle 85 C Oeste,9.020476,-79.507565
8,Super 99 Betania,9.011415,-79.525302
9,Ave 3K Sur,8.996082,-79.499016
10,Ave. 6C Norte,9.012951,-79.516109
11,Abastos-I,8.966172,-79.546857
12,Abastos-R,8.965709,-79.546449
13,Agua Bendita-I,9.168927,-79.618437
14,Agua Bendita-R,9.168854,-79.618319
15,Agua Bendita Interna-I,9.165661,-79.615638
16,Agua Bendita Interna-R,9.16492,-79.615841
17,Parque de Los Aburridos,8.951513,-79.542229
18,Agua Buena-I,9.122296,-79.59896
19,Agua Buena-R,9.12234,-79.59962000000002
20,Antiguo Deposito-I,8.996384,-79.533557
21,Antiguo Deposito-R,8.996835,-79.533283
22,Alcalde Diaz-I,9.109603,-79.555481
23,Alcalde Diaz-R,9.109911,-79.555613
24,Marcos Gelabert-R,8.972011,-79.559673
25,Aeropuerto-I,9.07144,-79.388967
26,Aeropuerto-R,9.070958,-79.388226
27,Plaza Agora,9.010314,-79.516766
28,Alajuela-I,9.199141,-79.623963
29,Alajuela-R,9.199204,-79.623872
30,Albrook,8.975731,-79.551661
31,Altos de Alcalde Diaz,9.124628,-79.551316
32,Altos de 24 de DIC,9.092401,-79.359891
33,Entrada El Amanecer,9.138511,-79.552142
34,Salida El Amanecer,9.138612,-79.552558
35,P Amelia Denis,8.95106,-79.546252
36,Las Americas-I,9.072427,-79.403085
37,Las Americas-R,9.072373,-79.402815
38,ANAM,8.975247,-79.558476
39,ANAM Chilibre-I,9.131041,-79.614225
40,ANAM Chilibre-R,9.131059,-79.61418
41,Ana,9.046968000000001,-79.512522
42,Ancla,8.990300000000001,-79.51139
43,Quebrada Ancha-I,9.124973,-79.576531
44,Quebrada Ancha-R,9.125204,-79.576471
45,CC Los Andes-I,9.048967,-79.508466
46,Los Andes,9.046463,-79.511123
47,CC Los Andes Externa,9.049076,-79.508237
48,CC Los Andes Interna,9.048992,-79.50771
49,Antigua Pepsi-I,9.006461,-79.509778
50,Antigua Pepsi-R,9.005073,-79.510994
51,Academia de Policia-I,9.0597,-79.637197
52,Academia de Policia-R,9.06034,-79.636603
53,Aquilino de la Guardia,8.975802,-79.521799
54,ARAP-Control,8.976934000000002,-79.531262
55,Ave. Simon Bolivar-Control,9.016185,-79.517469
56,C Ascanio Villalaz,8.959583,-79.557425
57,ASEP-Control,8.99525,-79.519228
58,Ave. Samuel Lewis,8.989758000000002,-79.516022
59,Altos de Tatare-I,9.097828,-79.291157
60,Altos de Tatare-R,9.097597,-79.291793
61,Atlapa-I,8.988153,-79.501486
62,Atlapa-R,8.987956,-79.501896
63,Automotor-I,9.034264,-79.489489
64,Automotor-R,9.034866,-79.488523
65,Ave. 4a Sur,8.978453,-79.529137
66,Ave 7 1/2 A Sur-I,9.00873,-79.487476
