route_id,service_id,trip_id,trip_headsign,trip_direction_id,shape_id
1,mibus,trip_1,Directo-Albrook,0,shape_1
2,mibus,trip_2,Transístmica-Alcalde Díaz,0,shape_2
3,mibus,trip_3,Transístmica-Cervecería Nacional,0,shape_3
4,mibus,trip_4,Transístmica-Alcade Díaz,0,shape_4
5,mibus,trip_5,Alcalde Díaz-Estación Los Andes,0,shape_5
6,mibus,trip_6,Estación Los Andes-Alcalde Díaz,0,shape_6
7,mibus,trip_7,Ciudad Bolivar-Estación Los Andes,0,shape_7
8,mibus,trip_8,Alcalde Díaz-Ciudad Bolivar,0,shape_8
9,mibus,trip_9,Forestal-Albrook,0,shape_9
10,mibus,trip_10,Forestal-Chilibre,0,shape_10
11,mibus,trip_11,Directo-Albrook,0,shape_11
12,mibus,trip_12,Transístmica-Chilibre,0,shape_12
13,mibus,trip_13,Transístmica-Albrook,0,shape_13
14,mibus,trip_14,Transístmica-Chilibre,0,shape_14
15,mibus,trip_15,Transístmica-Cervecería Nacional,0,shape_15
16,mibus,trip_16,Autopista-Albrook,0,shape_16
17,mibus,trip_17,Autopista-Chilibre,0,shape_17
18,mibus,trip_18,Autopista-Albrook,0,shape_18
19,mibus,trip_19,Corredor Norte-Chilibre,0,shape_19
20,mibus,trip_20,Corredor Norte-Chilibre,0,shape_20
21,mibus,trip_21,Chilibre Pueblo-Estación Los Andes,0,shape_21
22,mibus,trip_22,Estación Los Andes-Chilibre Pueblo,0,shape_22
23,mibus,trip_23,Ciudad Bolivar-Estación Los Andes,0,shape_23
24,mibus,trip_24,Estación Los Andes-Ciudad Bolivar,0,shape_24
25,mibus,trip_25,Directo-Albrook,0,shape_25
26,mibus,trip_26,Tumba Muerto-Ciudad Bolivar,0,shape_26
27,mibus,trip_27,Tumba Muerto-Cervecería Nacional,0,shape_27
28,mibus,trip_28,Tumba Muerto-Ciudad Bolivar,0,shape_28
29,mibus,trip_29,Corredor Norte-Albrook,0,shape_29
30,mibus,trip_30,Corredor Norte-Ciudad Bolivar,0,shape_30
31,mibus,trip_31,Ciudad Bolivar-Circular,0,shape_31
32,mibus,trip_32,El Valle-Estación Los Andes,0,shape_32
33,mibus,trip_33,Estación Los Andes-El Valle,0,shape_33
34,mibus,trip_34,Transístmica-Albrook,0,shape_34
35,mibus,trip_35,Transístmica-El Valle,0,shape_35
36,mibus,trip_36,Transístmica-Loma La Pava,0,shape_36
37,mibus,trip_37,Transístmica-El Valle,0,shape_37
38,mibus,trip_38,Corredor Norte-Albrook,0,shape_38
39,mibus,trip_39,Corredor Norte-El Valle,0,shape_39
40,mibus,trip_40,Chilibre interno-Circular,0,shape_40
41,mibus,trip_41,Directo-Albrook,0,shape_41
42,mibus,trip_42, Directo-Albrook,0,shape_42
43,mibus,trip_43,Corredor Norte-Albrook,0,shape_43
44,mibus,trip_44,Autopista-Albrook,0,shape_44
45,mibus,trip_45,Autopista-Estación La Cabima,0,shape_45
46,mibus,trip_46,Autopista-Estación La Cabima,0,shape_46
47,mibus,trip_47,Estación La Cabima-Estación Los Andes,0,shape_47
48,mibus,trip_48,Estación Los Andes-Estación La Cabima,0,shape_48
49,mibus,trip_49,Transístmica-Albrook,0,shape_49
